Altitutude (meters),Denstiy (kg/m3)
903,1.12227
904,1.12216
905,1.12205
906,1.12194
907,1.12183
908,1.12172
909,1.12161
910,1.1215
911,1.12139
912,1.12128
913,1.12117
914,1.12106
915,1.12095
916,1.12084
917,1.12073
918,1.12062
919,1.12051
920,1.1204
921,1.12029
922,1.12018
923,1.12007
924,1.11996
925,1.11985
926,1.11974
927,1.11963
928,1.11953
929,1.11942
930,1.11931
931,1.1192
932,1.11909
933,1.11898
934,1.11887
935,1.11876
936,1.11865
937,1.11854
938,1.11843
939,1.11832
940,1.11821
941,1.1181
942,1.11799
943,1.11788
944,1.11777
945,1.11766
946,1.11755
947,1.11744
948,1.11733
949,1.11722
950,1.11711
951,1.117
952,1.11689
953,1.11678
954,1.11667
955,1.11656
956,1.11645
957,1.11635
958,1.11624
959,1.11613
960,1.11602
961,1.11591
962,1.1158
963,1.11569
964,1.11558
965,1.11547
966,1.11536
967,1.11525
968,1.11514
969,1.11503
970,1.11492
971,1.11481
972,1.1147
973,1.11459
974,1.11448
975,1.11437
976,1.11427
977,1.11416
978,1.11405
979,1.11394
980,1.11383
981,1.11372
982,1.11361
983,1.1135
984,1.11339
985,1.11328
986,1.11317
987,1.11306
988,1.11295
989,1.11284
990,1.11273
991,1.11263
992,1.11252
993,1.11241
994,1.1123
995,1.11219
996,1.11208
997,1.11197
998,1.11186
999,1.11175
1000,1.11164
1001,1.11153
1002,1.11142
1003,1.11132
1004,1.11121
1005,1.1111
1006,1.11099
1007,1.11088
1008,1.11077
1009,1.11066
1010,1.11055
1011,1.11044
1012,1.11033
1013,1.11022
1014,1.11011
1015,1.11001
1016,1.1099
1017,1.10979
1018,1.10968
1019,1.10957
1020,1.10946
1021,1.10935
1022,1.10924
1023,1.10913
1024,1.10902
1025,1.10892
1026,1.10881
1027,1.1087
1028,1.10859
1029,1.10848
1030,1.10837
1031,1.10826
1032,1.10815
1033,1.10804
1034,1.10794
1035,1.10783
1036,1.10772
1037,1.10761
1038,1.1075
1039,1.10739
1040,1.10728
1041,1.10717
1042,1.10706
1043,1.10696
1044,1.10685
1045,1.10674
1046,1.10663
1047,1.10652
1048,1.10641
1049,1.1063
1050,1.10619
1051,1.10608
1052,1.10598
1053,1.10587
1054,1.10576
1055,1.10565
1056,1.10554
1057,1.10543
1058,1.10532
1059,1.10522
1060,1.10511
1061,1.105
1062,1.10489
1063,1.10478
1064,1.10467
1065,1.10456
1066,1.10445
1067,1.10435
1068,1.10424
1069,1.10413
1070,1.10402
1071,1.10391
1072,1.1038
1073,1.10369
1074,1.10359
1075,1.10348
1076,1.10337
1077,1.10326
1078,1.10315
1079,1.10304
1080,1.10293
1081,1.10283
1082,1.10272
1083,1.10261
1084,1.1025
1085,1.10239
1086,1.10228
1087,1.10217
1088,1.10207
1089,1.10196
1090,1.10185
1091,1.10174
1092,1.10163
1093,1.10152
1094,1.10142
1095,1.10131
1096,1.1012
1097,1.10109
1098,1.10098
1099,1.10087
1100,1.10077
1101,1.10066
1102,1.10055
1103,1.10044
1104,1.10033
1105,1.10022
1106,1.10012
1107,1.10001
1108,1.0999
1109,1.09979
1110,1.09968
1111,1.09957
1112,1.09947
1113,1.09936
1114,1.09925
1115,1.09914
1116,1.09903
1117,1.09892
1118,1.09882
1119,1.09871
1120,1.0986
1121,1.09849
1122,1.09838
1123,1.09827
1124,1.09817
1125,1.09806
1126,1.09795
1127,1.09784
1128,1.09773
1129,1.09763
1130,1.09752
1131,1.09741
1132,1.0973
1133,1.09719
1134,1.09709
1135,1.09698
1136,1.09687
1137,1.09676
1138,1.09665
1139,1.09655
1140,1.09644
1141,1.09633
1142,1.09622
1143,1.09611
1144,1.096
1145,1.0959
1146,1.09579
1147,1.09568
1148,1.09557
1149,1.09547
1150,1.09536
1151,1.09525
1152,1.09514
1153,1.09503
1154,1.09493
1155,1.09482
1156,1.09471
1157,1.0946
1158,1.09449
1159,1.09439
1160,1.09428
1161,1.09417
1162,1.09406
1163,1.09395
1164,1.09385
1165,1.09374
1166,1.09363
1167,1.09352
1168,1.09342
1169,1.09331
1170,1.0932
1171,1.09309
1172,1.09298
1173,1.09288
1174,1.09277
1175,1.09266
1176,1.09255
1177,1.09245
1178,1.09234
1179,1.09223
1180,1.09212
1181,1.09201
1182,1.09191
1183,1.0918
1184,1.09169
1185,1.09158
1186,1.09148
1187,1.09137
1188,1.09126
1189,1.09115
1190,1.09105
1191,1.09094
1192,1.09083
1193,1.09072
1194,1.09061
1195,1.09051
1196,1.0904
1197,1.09029
1198,1.09018
1199,1.09008
1200,1.08997
1201,1.08986
1202,1.08975
1203,1.08965
1204,1.08954
1205,1.08943
1206,1.08932
1207,1.08922
1208,1.08911
1209,1.089
1210,1.08889
1211,1.08879
1212,1.08868
1213,1.08857
1214,1.08846
1215,1.08836
1216,1.08825
1217,1.08814
1218,1.08803
1219,1.08793
1220,1.08782
1221,1.08771
1222,1.08761
1223,1.0875
1224,1.08739
1225,1.08728
1226,1.08718
1227,1.08707
1228,1.08696
1229,1.08685
1230,1.08675
1231,1.08664
1232,1.08653
1233,1.08642
1234,1.08632
1235,1.08621
1236,1.0861
1237,1.086
1238,1.08589
1239,1.08578
1240,1.08567
1241,1.08557
1242,1.08546
1243,1.08535
1244,1.08524
1245,1.08514
1246,1.08503
1247,1.08492
1248,1.08482
1249,1.08471
1250,1.0846
1251,1.08449
1252,1.08439
1253,1.08428
1254,1.08417
1255,1.08407
1256,1.08396
1257,1.08385
1258,1.08375
1259,1.08364
1260,1.08353
1261,1.08342
1262,1.08332
1263,1.08321
1264,1.0831
1265,1.083
1266,1.08289
1267,1.08278
1268,1.08267
1269,1.08257
1270,1.08246
1271,1.08235
1272,1.08225
1273,1.08214
1274,1.08203
1275,1.08193
1276,1.08182
1277,1.08171
1278,1.08161
1279,1.0815
1280,1.08139
1281,1.08128
1282,1.08118
1283,1.08107
1284,1.08096
1285,1.08086
1286,1.08075
1287,1.08064
1288,1.08054
1289,1.08043
1290,1.08032
1291,1.08022
1292,1.08011
1293,1.08
1294,1.0799
1295,1.07979
1296,1.07968
1297,1.07957
1298,1.07947
1299,1.07936
1300,1.07925
1301,1.07915
1302,1.07904
1303,1.07893
1304,1.07883
1305,1.07872
1306,1.07861
1307,1.07851
1308,1.0784
1309,1.07829
1310,1.07819
1311,1.07808
1312,1.07797
1313,1.07787
1314,1.07776
1315,1.07765
1316,1.07755
1317,1.07744
1318,1.07733
1319,1.07723
1320,1.07712
1321,1.07701
1322,1.07691
1323,1.0768
1324,1.0767
1325,1.07659
1326,1.07648
1327,1.07638
1328,1.07627
1329,1.07616
1330,1.07606
1331,1.07595
1332,1.07584
1333,1.07574
1334,1.07563
